Collection Terms,Tags,Category_1,Category_2,Category_3
FPL,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
FP&L,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
Georgia Power,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
live wire,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
sewer,hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
water,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
boil water notice,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
storm sewer,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
Typhoon Haima,Industrial,Industrial,,
Typhoon Lawin,Industrial,Industrial,,
pipeline explosion Alabama,Industrial,Industrial,,
Iowa police shooting,Industrial,Industrial,,
Trump,Industrial,Industrial,,
New Zealand Earthquake,Industrial,Industrial,,
#eqnz,Industrial,Industrial,,
utah school stabbing,Industrial,Industrial,,
White nationalism,Industrial,Industrial,,
Racial prejudice,National,National,,
Paris attacks anniversary,International,International,,
coastal restoration,International,International,,
Ohio State attack,International,International,,
Columbus Fire,International,International,,
Great Barrier Reef,International,International,,
Dakota Access Pipeline,International,International,,
#NoDAPL,International,International,,
attack columbus ohio,International,International,,
earthquake el salvador,International,International,,
coastal erosion,International,International,,
beach erosion,International,International,,
coastal flooding,International,International,,
#erosion,International,International,,
Louisiana flooding,International,International,,
#flood2016,International,International,,
false flag,International,International,,
aleppo evacuation,International,International,,
Aleppo battles,International,International,,
#BerlinAttack,International,International,,
